Activity_type,Material_type,completion_node,Student id,local_date,Lesson title,Attempt,Score,Lesson_category,Lesson_type,Lesson_type_name,Total time (sec),Grade Gap,ADT Score,Proficiency Level
INSTRUCTIONAL_LESSON,CORE,FALSE,3330792,01/10/2025,"Relate Fractions, Decimals, and Percents - Explore",1,,INSTRUCTIONAL_LESSON,Video,Video,7,-4,391,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3425793,01/10/2025,"Relate Fractions, Decimals, and Percents - Explore",1,,INSTRUCTIONAL_LESSON,DOK,Learn,93,-2,477,Approaching
INSTRUCTIONAL_LESSON,CORE,TRUE,3402351,01/10/2025,Percents Greater Than 100% and Less Than 1% - Explore,1,75,INSTRUCTIONAL_LESSON,ET,Exit Ticket,50,-2,473,Approaching
INSTRUCTIONAL_LESSON,CORE,TRUE,3392327,02/10/2025,Find the Percent of a Number - Explore,1,25,INSTRUCTIONAL_LESSON,ET,Exit Ticket,93,-1,546,Approaching
INSTRUCTIONAL_LESSON,CORE,FALSE,3330792,02/10/2025,Find the Percent of a Number - Learn,1,100,INSTRUCTIONAL_LESSON,CMU,Check My Understanding,78,-4,391,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3392147,02/10/2025,Find the Percent of a Number - Learn,1,100,INSTRUCTIONAL_LESSON,CMU,Check My Understanding,144,1,642,Above level
INSTRUCTIONAL_LESSON,CORE,FALSE,3392339,02/10/2025,"Relate Fractions, Decimals, and Percents - Learn",2,100,INSTRUCTIONAL_LESSON,CMU,Check My Understanding,65,-4,321,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3331014,05/10/2025,"Relate Fractions, Decimals, and Percents - Learn",1,100,INSTRUCTIONAL_LESSON,CMU,Check My Understanding,900,-5,256,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3398871,06/10/2025,Understanding Tables of Equivalent Ratios-Learn,3,100,INSTRUCTIONAL_LESSON,CMU,Check My Understanding,82,-3,410,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3330684,07/10/2025,Estimate the Percent of a Number - Explore and Learn,1,,INSTRUCTIONAL_LESSON,Video,Video,98,,,
INSTRUCTIONAL_LESSON,CORE,FALSE,3330666,08/10/2025,Find the Whole - Explore and Learn,1,,INSTRUCTIONAL_LESSON,Video,Video,39,-4,366,Below
INSTRUCTIONAL_LESSON,CORE,TRUE,3331014,08/10/2025,Estimate the Percent of a Number - Explore and Learn,1,100,INSTRUCTIONAL_LESSON,SA,Assessment,900,-5,256,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3392339,09/10/2025,"Relate Fractions, Decimals, and Percents - Learn",3,100,INSTRUCTIONAL_LESSON,CMU,Check My Understanding,774,-4,321,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3392339,09/10/2025,Estimate the Percent of a Number - Explore and Learn,2,100,INSTRUCTIONAL_LESSON,CMU,Check My Understanding,291,-4,321,Below
INSTRUCTIONAL_LESSON,CORE,TRUE,3392303,09/10/2025,Find the Percent of a Number - Explore,1,25,INSTRUCTIONAL_LESSON,ET,Exit Ticket,43,-5,302,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3330594,10/10/2025,Understanding Tables of Equivalent Ratios-Learn,1,,INSTRUCTIONAL_LESSON,Learn,Learn,900,3,733,Above level
INSTRUCTIONAL_LESSON,CORE,FALSE,3331014,21/10/2025,Compute with Multi-Digit Decimals - Explore and Learn,1,,INSTRUCTIONAL_LESSON,Video,Video,53,-5,256,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3402201,21/10/2025,Compute with Multi-Digit Decimals - Explore and Learn,1,,INSTRUCTIONAL_LESSON,EX_LE,Explore & Learn,900,-4,377,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3392033,22/10/2025,Compute with Multi-Digit Decimals - Explore and Learn,2,100,INSTRUCTIONAL_LESSON,CMU,Check My Understanding,329,3,734,Above level
INSTRUCTIONAL_LESSON,CORE,TRUE,3402225,23/10/2025,Compute with Multi-Digit Decimals - Explore and Learn,1,100,INSTRUCTIONAL_LESSON,SA,Assessment,900,0,592,On Grade Level
INSTRUCTIONAL_LESSON,CORE,FALSE,3330594,23/10/2025,Divide Whole Numbers by Fractions - Explore and Learn,2,100,INSTRUCTIONAL_LESSON,CMU,Check My Understanding,65,3,733,Above level
INSTRUCTIONAL_LESSON,CORE,FALSE,3402219,29/10/2025,Divide Fractions by Fractions - Explore and Learn,1,,INSTRUCTIONAL_LESSON,Video,Video,68,,,
INSTRUCTIONAL_LESSON,CORE,FALSE,3330864,29/10/2025,Divide Fractions by Fractions - Explore and Learn,1,,INSTRUCTIONAL_LESSON,Video,Video,33,-2,478,Approaching
INSTRUCTIONAL_LESSON,CORE,FALSE,3330792,29/10/2025,Divide Fractions by Fractions - Explore and Learn,1,,INSTRUCTIONAL_LESSON,SL,Second Look,31,-4,391,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3402201,06/01/2026,Represent Integers  - Explore and Learn,1,,INSTRUCTIONAL_LESSON,Video,Video,51,-4,377,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3392147,01/10/2025,"Relate Fractions, Decimals, and Percents - Explore",1,,INSTRUCTIONAL_LESSON,Video,Video,10,1,642,Above level
INSTRUCTIONAL_LESSON,CORE,TRUE,3392303,01/10/2025,"Relate Fractions, Decimals, and Percents - Explore",1,63,INSTRUCTIONAL_LESSON,ET,Exit Ticket,143,-5,302,Below
INSTRUCTIONAL_LESSON,CORE,TRUE,3330666,01/10/2025,"Relate Fractions, Decimals, and Percents - Explore",1,100,INSTRUCTIONAL_LESSON,ET,Exit Ticket,301,-4,366,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3392327,02/10/2025,"Relate Fractions, Decimals, and Percents - Explore",1,,INSTRUCTIONAL_LESSON,DOK,Learn,136,-1,546,Approaching
INSTRUCTIONAL_LESSON,CORE,FALSE,3425793,02/10/2025,Find the Percent of a Number - Explore,1,,INSTRUCTIONAL_LESSON,DOK,Learn,62,-2,477,Approaching
INSTRUCTIONAL_LESSON,CORE,TRUE,3402219,02/10/2025,Percents Greater Than 100% and Less Than 1% - Explore,1,100,INSTRUCTIONAL_LESSON,ET,Exit Ticket,94,,,
INSTRUCTIONAL_LESSON,CORE,TRUE,3330594,02/10/2025,Understand Percents - Learn,1,0,INSTRUCTIONAL_LESSON,SA,Assessment,509,3,733,Above level
INSTRUCTIONAL_LESSON,CORE,TRUE,3330792,02/10/2025,Percents Greater Than 100% and Less Than 1% - Learn,1,75,INSTRUCTIONAL_LESSON,SA,Assessment,132,-4,391,Below
INSTRUCTIONAL_LESSON,CORE,TRUE,3402255,04/10/2025,Find the Percent of a Number - Explore,1,75,INSTRUCTIONAL_LESSON,ET,Exit Ticket,900,-4,331,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3331014,05/10/2025,Find the Percent of a Number - Explore,1,,INSTRUCTIONAL_LESSON,Video,Video,900,-5,256,Below
INSTRUCTIONAL_LESSON,CORE,TRUE,3402255,07/10/2025,Estimate the Percent of a Number - Explore and Learn,1,100,INSTRUCTIONAL_LESSON,SA,Assessment,869,-4,331,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3392147,08/10/2025,Find the Whole - Explore and Learn,1,,INSTRUCTIONAL_LESSON,Video,Video,49,1,642,Above level
INSTRUCTIONAL_LESSON,CORE,FALSE,3330864,08/10/2025,Find the Whole - Explore and Learn,1,,INSTRUCTIONAL_LESSON,EX_LE,Explore & Learn,32,-2,478,Approaching
INSTRUCTIONAL_LESSON,CORE,FALSE,3330666,08/10/2025,Find the Whole - Explore and Learn,1,100,INSTRUCTIONAL_LESSON,CMU,Check My Understanding,81,-4,366,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3392261,08/10/2025,Estimate the Percent of a Number - Explore and Learn,1,,INSTRUCTIONAL_LESSON,EX_LE,Explore & Learn,900,-3,432,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3392303,10/10/2025,Find the Percent of a Number - Learn,1,75,INSTRUCTIONAL_LESSON,CMU,Check My Understanding,95,-5,302,Below
INSTRUCTIONAL_LESSON,CORE,TRUE,3402147,11/10/2025,Understand Percents - Learn,1,25,INSTRUCTIONAL_LESSON,SA,Assessment,900,1,655,Above level
INSTRUCTIONAL_LESSON,CORE,TRUE,3402405,16/10/2025,Compare Ratio Relationships - Learn,1,75,INSTRUCTIONAL_LESSON,SA,Assessment,900,-2,471,Approaching
INSTRUCTIONAL_LESSON,CORE,FALSE,3392135,21/10/2025,Divide Multi-Digit Whole Numbers - Explore and Learn,1,100,INSTRUCTIONAL_LESSON,CMU,Check My Understanding,131,-2,529,Approaching
INSTRUCTIONAL_LESSON,CORE,FALSE,3402201,21/10/2025,Compute with Multi-Digit Decimals - Explore and Learn,1,,INSTRUCTIONAL_LESSON,Video,Video,33,-4,377,Below
INSTRUCTIONAL_LESSON,CORE,TRUE,3330594,21/10/2025,Divide Multi-Digit Whole Numbers - Explore and Learn,1,100,INSTRUCTIONAL_LESSON,SA,Assessment,121,3,733,Above level
INSTRUCTIONAL_LESSON,CORE,FALSE,3392261,22/10/2025,Compute with Multi-Digit Decimals - Explore and Learn,1,,INSTRUCTIONAL_LESSON,Unlock,Unlock,900,-3,432,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3425793,23/10/2025,Divide Whole Numbers by Fractions - Explore and Learn,1,,INSTRUCTIONAL_LESSON,Video,Video,88,-2,477,Approaching
INSTRUCTIONAL_LESSON,CORE,TRUE,3392327,23/10/2025,Compute with Multi-Digit Decimals - Explore and Learn,1,100,INSTRUCTIONAL_LESSON,SA,Assessment,129,-1,546,Approaching
INSTRUCTIONAL_LESSON,CORE,TRUE,3330726,26/10/2025,Compute with Multi-Digit Decimals - Explore and Learn,1,100,INSTRUCTIONAL_LESSON,SA,Assessment,209,-2,482,Approaching
INSTRUCTIONAL_LESSON,CORE,FALSE,3330792,28/10/2025,Divide Whole Numbers by Fractions - Explore and Learn,1,,INSTRUCTIONAL_LESSON,SL,Second Look,900,-4,391,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3402405,28/10/2025,Estimate the Percent of a Number - Explore and Learn,1,,INSTRUCTIONAL_LESSON,EX_LE,Explore & Learn,49,-2,471,Approaching
INSTRUCTIONAL_LESSON,CORE,TRUE,3331014,28/10/2025,Divide Whole Numbers by Fractions - Explore and Learn,1,50,INSTRUCTIONAL_LESSON,SA,Assessment,900,-5,256,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3330726,06/01/2026,Represent Integers  - Explore and Learn,1,,INSTRUCTIONAL_LESSON,Unlock,Unlock,57,-2,482,Approaching
INSTRUCTIONAL_LESSON,CORE,FALSE,3330594,06/01/2026,Represent Integers  - Explore and Learn,1,,INSTRUCTIONAL_LESSON,Video,Video,49,3,733,Above level
INSTRUCTIONAL_LESSON,CORE,FALSE,3392261,06/01/2026,Represent Integers  - Explore and Learn,1,67,INSTRUCTIONAL_LESSON,CMU,Check My Understanding,56,-3,432,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3392453,07/01/2026,Opposites and Absolute Value - Explore and Learn,1,,INSTRUCTIONAL_LESSON,Video,Video,120,6,826,Above level
INSTRUCTIONAL_LESSON,CORE,FALSE,3330864,07/01/2026,Opposites and Absolute Value - Explore and Learn,1,100,INSTRUCTIONAL_LESSON,CMU,Check My Understanding,32,-2,478,Approaching
INSTRUCTIONAL_LESSON,CORE,FALSE,3330684,07/01/2026,Opposites and Absolute Value - Explore and Learn,1,100,INSTRUCTIONAL_LESSON,CMU,Check My Understanding,51,,,
INSTRUCTIONAL_LESSON,CORE,FALSE,3392261,07/01/2026,Opposites and Absolute Value - Explore and Learn,1,,INSTRUCTIONAL_LESSON,Video,Video,263,-3,432,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3402255,07/01/2026,Opposites and Absolute Value - Explore and Learn,3,67,INSTRUCTIONAL_LESSON,CMU,Check My Understanding,213,-4,331,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3402201,12/01/2026,Compare and Order Integers - Explore and Learn,1,100,INSTRUCTIONAL_LESSON,CMU,Check My Understanding,103,-4,377,Below
INSTRUCTIONAL_LESSON,CORE,FALSE,3402351,13/01/2026,Rational Numbers - Explore and Learn,1,,INSTRUCTIONAL_LESSON,EX_LE,Explore & Learn,52,-2,473,Approaching
